"Dicamptodon_copei","Dicamptodon_tenebrosus","Dicamptodon_ensatus","Ambystoma_texanum","Ambystoma_barbouri","Ambystoma_opacum","Ambystoma_cingulatum","Ambystoma_annulatum","Ambystoma_laterale","Ambystoma_jeffersonianum","Ambystoma_ordinarium","Ambystoma_mavortium","Ambystoma_velasci","Ambystoma_californiense","Ambystoma_macrodactylum","Ambystoma_maculatum","Ambystoma_gracile","Salamandrina_terdigitata","Salamandra_atra","Salamandra_salamandra","Chioglossa_lusitanica","Mertensiella_caucasica","Taricha_granulosa","Taricha_torosa","Taricha_rivularis","Notophthalmus_meridionalis","Notophthalmus_perstriatus","Notophthalmus_viridescens","Ichthyosaura_alpestris","Lissotriton_vulgaris","Lissotriton_montandoni","Lissotriton_helveticus","Lissotriton_boscai","Triturus_pygmaeus","Triturus_cristatus","Calotriton_asper","Ommatotriton_vittatus","Neurergus_crocatus","Neurergus_strauchii","Cynops_pyrrhogaster","Cynops_ensicauda","Paramesotriton_caudopunctatus","Paramesotriton_chinensis","Paramesotriton_hongkongensis","Pachytriton_brevipes","Echinotriton_andersoni","Tylototriton_verrucosus","Tylototriton_kweichowensis","Tylototriton_asperrimus","Pleurodeles_waltl","Hemidactylium_scutatum","Bolitoglossa_adspersa","Bolitoglossa_palmata","Bolitoglossa_subpalmata","Bolitoglossa_dofleini","Bolitoglossa_morio","Bolitoglossa_engelhardti","Bolitoglossa_rostrata","Bolitoglossa_platydactyla","Bolitoglossa_mexicana","Bolitoglossa_yucatana","Bolitoglossa_occidentalis","Bolitoglossa_rufescens","Parvimolge_townsendi","Pseudoeurycea_leprosa","Pseudoeurycea_werleri","Pseudoeurycea_robertsi","Pseudoeurycea_gadovii","Pseudoeurycea_rex","Pseudoeurycea_bellii","Pseudoeurycea_cephalica","Pseudoeurycea_galeanae","Chiropterotriton_dimidiatus","Chiropterotriton_lavae","Chiropterotriton_priscus","Chiropterotriton_multidentatus","Chiropterotriton_chondrostega","Bradytriton_silus","Oedipina_complex","Oedipina_parvipes","Oedipina_cyclocauda","Oedipina_uniformis","Nototriton_picadoi","Nyctanolis_pernix","Cryptotriton_nasalis","Batrachoseps_wrighti","Batrachoseps_attenuatus","Batrachoseps_major","Stereochilus_marginatus","Gyrinophilus_porphyriticus","Pseudotriton_montanus","Pseudotriton_ruber","Eurycea_multiplicata","Eurycea_tynerensis","Eurycea_spelaea","Eurycea_quadridigitata","Eurycea_lucifuga","Eurycea_longicauda","Eurycea_cirrigera","Eurycea_bislineata","Eurycea_aquatica","Eurycea_junaluska","Eurycea_wilderae","Eurycea_rathbuni","Eurycea_nana","Eurycea_sosorum","Eurycea_neotenes","Eurycea_tridentifera","Plethodon_elongatus","Plethodon_vehiculum","Plethodon_dunni","Plethodon_neomexicanus","Plethodon_vandykei","Plethodon_idahoensis","Plethodon_serratus","Plethodon_hoffmani","Plethodon_cinereus","Plethodon_shenandoah","Plethodon_richmondi","Plethodon_nettingi","Plethodon_hubrichti","Plethodon_wehrlei","Plethodon_punctatus","Plethodon_welleri","Plethodon_angusticlavius","Plethodon_ventralis","Plethodon_dorsalis","Plethodon_yonahlossee","Plethodon_kentucki","Plethodon_metcalfi","Plethodon_jordani","Plethodon_caddoensis","Plethodon_ouachitae","Plethodon_montanus","Plethodon_amplus","Plethodon_meridianus","Plethodon_shermani","Plethodon_cheoah","Plethodon_chlorobryonis","Plethodon_teyahalee","Plethodon_cylindraceus","Plethodon_glutinosus","Plethodon_mississippi","Plethodon_albagula","Plethodon_grobmani","Hydromantes_italicus","Hydromantes_platycephalus","Ensatina_eschscholtzii","Aneides_aeneus","Aneides_hardii","Aneides_lugubris","Aneides_flavipunctatus","Phaeognathus_hubrichti","Desmognathus_wrighti","Desmognathus_aeneus","Desmognathus_quadramaculatus","Desmognathus_marmoratus","Desmognathus_imitator","Desmognathus_ochrophaeus","Desmognathus_welteri","Desmognathus_fuscus","Desmognathus_monticola","Desmognathus_brimleyorum","Desmognathus_auriculatus","Amphiuma_pholeter","Amphiuma_means","Amphiuma_tridactylum","Rhyacotriton_olympicus","Rhyacotriton_kezeri","Rhyacotriton_cascadae","Rhyacotriton_variegatus","Proteus_anguinus","Necturus_alabamensis","Necturus_beyeri","Necturus_maculosus","Necturus_punctatus","Andrias_davidianus","Cryptobranchus_alleganiensis","Batrachuperus_pinchonii","Batrachuperus_yenyuanensis","Liua_shihi","Salamandrella_keyserlingii","Hynobius_nebulosus","Hynobius_dunni","Hynobius_tsuensis","Hynobius_leechii","Hynobius_naevius","Hynobius_stejnegeri","Hynobius_nigrescens","Hynobius_lichenatus","Hynobius_abei","Pachyhynobius_shangchengensis","Paradactylodon_mustersi","Ranodon_sibiricus","Pseudobranchus_axanthus","Siren_lacertina","Siren_intermedia"
0,31.76812578,48.23322428,235.99708805,235.99708805,235.99708806,235.99708807,235.99708806,235.99708805,235.99708805,235.99708803,235.99708804,235.99708803,235.99708804,235.99708804,235.99708804,235.99708804,325.99688205,325.99698504,325.99698505,325.99688207,325.99688207,325.99677902,325.99688203,325.99688205,325.99688207,325.99688206,325.99688206,325.99698502,325.99688206,325.99688206,325.99698505,325.99698505,325.99688206,325.99698502,325.99688202,325.99698505,325.99698506,325.99698511,325.99688205,325.99688205,325.99688209,325.99698506,325.99698511,325.99698505,325.99698508,325.99698507,325.99698507,325.99698507,325.99688206,361.97922212,361.97922214,361.97922213,361.9613562,361.97922212,361.96135619,361.9613562,361.9613562,361.97922212,361.99708804,361.99708804,361.97922212,361.97922212,361.9613562,361.96135619,361.99708803,361.96135621,361.97922212,361.96135621,361.97922213,361.97922213,361.97922213,361.9613562,361.9613562,361.96135619,361.96135619,361.9613562,361.9613562,361.96135621,361.96135621,361.94349028,361.94349029,361.96135619,361.97922212,361.9613562,361.9613562,361.96135619,361.96135619,361.97922212,361.97922212,361.97922211,361.97922211,361.97922213,361.99708806,361.99708806,361.97922212,361.97922212,361.97922212,361.99708805,361.99708805,361.99708805,361.99708805,361.99708805,361.97922213,361.97922213,361.97922213,361.97922213,361.97922213,361.96135618,361.97922211,361.97922211,361.96135619,361.97922211,361.97922211,361.96135619,361.94349028,361.94349028,361.94349028,361.96135619,361.94349027,361.94349027,361.96135619,361.96135619,361.97922211,361.97922211,361.97922212,361.97922212,361.96135619,361.97922211,361.97922211,361.97922211,361.96135619,361.96135619,361.9613562,361.9613562,361.9613562,361.96135619,361.96135619,361.9613562,361.94349028,361.94349028,361.96135619,361.96135619,361.96135619,361.96135619,361.97922211,361.97922211,361.97922212,361.97922212,361.97922212,361.97922213,361.97922213,361.97922211,361.9613562,361.97922213,361.9613562,361.9613562,361.9613562,361.9613562,361.9613562,361.9613562,361.9613562,361.94349028,361.94349028,361.99708805,361.99708805,361.99708805,361.99708806,361.99708806,361.99708805,361.99708805,361.99708805,361.99708804,361.99708805,361.99708805,361.99708804,387.99708805,387.99708805,387.99708805,387.99708804,387.99708806,387.99708805,387.997088029,387.997088029,387.997088032,387.997088034,387.997088033,387.997088034,387.997088035,387.997088035,387.99708803,387.99708805,387.99708803,387.99708803,427.99708805,427.99708805,427.99708805
31.76812578,0,48.23322428,235.99708805,235.99708805,235.99708806,235.99708807,235.99708806,235.99708805,235.99708805,235.99708803,235.99708804,235.99708803,235.99708804,235.99708804,235.99708804,235.99708804,325.99688205,325.99698504,325.99698505,325.99688207,325.99688207,325.99677902,325.99688203,325.99688205,325.99688207,325.99688206,325.99688206,325.99698502,325.99688206,325.99688206,325.99698505,325.99698505,325.99688206,325.99698502,325.99688202,325.99698505,325.99698506,325.99698511,325.99688205,325.99688205,325.99688209,325.99698506,325.99698511,325.99698505,325.99698508,325.99698507,325.99698507,325.99698507,325.99688206,361.97922212,361.97922214,361.97922213,361.9613562,361.97922212,361.96135619,361.9613562,361.9613562,361.97922212,361.99708804,361.99708804,361.97922212,361.97922212,361.9613562,361.96135619,361.99708803,361.96135621,361.97922212,361.96135621,361.97922213,361.97922213,361.97922213,361.9613562,361.9613562,361.96135619,361.96135619,361.9613562,361.9613562,361.96135621,361.96135621,361.94349028,361.94349029,361.96135619,361.97922212,361.9613562,361.9613562,361.96135619,361.96135619,361.97922212,361.97922212,361.97922211,361.97922211,361.97922213,361.99708806,361.99708806,361.97922212,361.97922212,361.97922212,361.99708805,361.99708805,361.99708805,361.99708805,361.99708805,361.97922213,361.97922213,361.97922213,361.97922213,361.97922213,361.96135618,361.97922211,361.97922211,361.96135619,361.97922211,361.97922211,361.96135619,361.94349028,361.94349028,361.94349028,361.96135619,361.94349027,361.94349027,361.96135619,361.96135619,361.97922211,361.97922211,361.97922212,361.97922212,361.96135619,361.97922211,361.97922211,361.97922211,361.96135619,361.96135619,361.9613562,361.9613562,361.9613562,361.96135619,361.96135619,361.9613562,361.94349028,361.94349028,361.96135619,361.96135619,361.96135619,361.96135619,361.97922211,361.97922211,361.97922212,361.97922212,361.97922212,361.97922213,361.97922213,361.97922211,361.9613562,361.97922213,361.9613562,361.9613562,361.9613562,361.9613562,361.9613562,361.9613562,361.9613562,361.94349028,361.94349028,361.99708805,361.99708805,361.99708805,361.99708806,361.99708806,361.99708805,361.99708805,361.99708805,361.99708804,361.99708805,361.99708805,361.99708804,387.99708805,387.99708805,387.99708805,387.99708804,387.99708806,387.99708805,387.997088029,387.997088029,387.997088032,387.997088034,387.997088033,387.997088034,387.997088035,387.997088035,387.99708803,387.99708805,387.99708803,387.99708803,427.99708805,427.99708805,427.99708805
48.23322428,48.23322428,0,235.99708805,235.99708805,235.99708806,235.99708807,235.99708806,235.99708805,235.99708805,235.99708803,235.99708804,235.99708803,235.99708804,235.99708804,235.99708804,235.99708804,325.99688205,325.99698504,325.99698505,325.99688207,325.99688207,325.99677902,325.99688203,325.99688205,325.99688207,325.99688206,325.99688206,325.99698502,325.99688206,325.99688206,325.99698505,325.99698505,325.99688206,325.99698502,325.99688202,325.99698505,325.99698506,325.99698511,325.99688205,325.99688205,325.99688209,325.99698506,325.99698511,325.99698505,325.99698508,325.99698507,325.99698507,325.99698507,325.99688206,361.97922212,361.97922214,361.97922213,361.9613562,361.97922212,361.96135619,361.9613562,361.9613562,361.97922212,361.99708804,361.99708804,361.97922212,361.97922212,361.9613562,361.96135619,361.99708803,361.96135621,361.97922212,361.96135621,361.97922213,361.97922213,361.97922213,361.9613562,361.9613562,361.96135619,361.96135619,361.9613562,361.9613562,361.96135621,361.96135621,361.94349028,361.94349029,361.96135619,361.97922212,361.9613562,361.9613562,361.96135619,361.96135619,361.97922212,361.97922212,361.97922211,361.97922211,361.97922213,361.99708806,361.99708806,361.97922212,361.97922212,361.97922212,361.99708805,361.99708805,361.99708805,361.99708805,361.99708805,361.97922213,361.97922213,361.97922213,361.97922213,361.97922213,361.96135618,361.97922211,361.97922211,361.96135619,361.97922211,361.97922211,361.96135619,361.94349028,361.94349028,361.94349028,361.96135619,361.94349027,361.94349027,361.96135619,361.96135619,361.97922211,361.97922211,361.97922212,361.97922212,361.96135619,361.97922211,361.97922211,361.97922211,361.96135619,361.96135619,361.9613562,361.9613562,361.9613562,361.96135619,361.96135619,361.9613562,361.94349028,361.94349028,361.96135619,361.96135619,361.96135619,361.96135619,361.97922211,361.97922211,361.97922212,361.97922212,361.97922212,361.97922213,361.97922213,361.97922211,361.9613562,361.97922213,361.9613562,361.9613562,361.9613562,361.9613562,361.9613562,361.9613562,361.9613562,361.94349028,361.94349028,361.99708805,361.99708805,361.99708805,361.99708806,361.99708806,361.99708805,361.99708805,361.99708805,361.99708804,361.99708805,361.99708805,361.99708804,387.99708805,387.99708805,387.99708805,387.99708804,387.99708806,387.99708805,387.997088029,387.997088029,387.997088032,387.997088034,387.997088033,387.997088034,387.997088035,387.997088035,387.99708803,387.99708805,387.99708803,387.99708803,427.99708805,427.99708805,427.99708805
235.99708805,235.99708805,235.99708805,0,19.10653358,80.56326553,91.85789584,91.85789583,102.51158612,102.51158612,104.34922622,104.34922623,104.34922622,104.34922623,115.89221069,118.83999999,118.83999999,325.999794,325.99989699,325.999897,325.99979402,325.99979402,325.99969097,325.99979398,325.999794,325.99979402,325.99979401,325.99979401,325.99989697,325.99979401,325.99979401,325.999897,325.999897,325.99979401,325.99989697,325.99979397,325.999897,325.99989701,325.99989706,325.999794,325.999794,325.99979404,325.99989701,325.99989706,325.999897,325.99989703,325.99989702,325.99989702,325.99989702,325.99979401,361.98213407,361.98213409,361.98213408,361.96426815,361.98213407,361.96426814,361.96426815,361.96426815,361.98213407,361.99999999,361.99999999,361.98213407,361.98213407,361.96426815,361.96426814,361.99999998,361.96426816,361.98213407,361.96426816,361.98213408,361.98213408,361.98213408,361.96426815,361.96426815,361.96426814,361.96426814,361.96426815,361.96426815,361.96426816,361.96426816,361.94640223,361.94640224,361.96426814,361.98213407,361.96426815,361.96426815,361.96426814,361.96426814,361.98213407,361.98213407,361.98213406,361.98213406,361.98213408,362.00000001,362.00000001,361.98213407,361.98213407,361.98213407,362,362,362,362,362,361.98213408,361.98213408,361.98213408,361.98213408,361.98213408,361.96426813,361.98213406,361.98213406,361.96426814,361.98213406,361.98213406,361.96426814,361.94640223,361.94640223,361.94640223,361.96426814,361.94640222,361.94640222,361.96426814,361.96426814,361.98213406,361.98213406,361.98213407,361.98213407,361.96426814,361.98213406,361.98213406,361.98213406,361.96426814,361.96426814,361.96426815,361.96426815,361.96426815,361.96426814,361.96426814,361.96426815,361.94640223,361.94640223,361.96426814,361.96426814,361.96426814,361.96426814,361.98213406,361.98213406,361.98213407,361.98213407,361.98213407,361.98213408,361.98213408,361.98213406,361.96426815,361.98213408,361.96426815,361.96426815,361.96426815,361.96426815,361.96426815,361.96426815,361.96426815,361.94640223,361.94640223,362,362,362,362.00000001,362.00000001,362,362,362,361.99999999,362,362,361.99999999,388,388,388,387.99999999,388.00000001,388,387.999999979,387.999999979,387.999999982,387.999999984,387.999999983,387.999999984,387.999999985,387.999999985,387.99999998,388,387.99999998,387.99999998,428,428,428
235.99708805,235.99708805,235.99708805,19.10653358,0,80.56326553,91.85789584,91.85789583,102.51158612,102.51158612,104.34922622,104.34922623,104.34922622,104.34922623,115.89221069,118.83999999,118.83999999,325.999794,325.99989699,325.999897,325.99979402,325.99979402,325.99969097,325.99979398,325.999794,325.99979402,325.99979401,325.99979401,325.99989697,325.99979401,325.99979401,325.999897,325.999897,325.99979401,325.99989697,325.99979397,325.999897,325.99989701,325.99989706,325.999794,325.999794,325.99979404,325.99989701,325.99989706,325.999897,325.99989703,325.99989702,325.99989702,325.99989702,325.99979401,361.98213407,361.98213409,361.98213408,361.96426815,361.98213407,361.96426814,361.96426815,361.96426815,361.98213407,361.99999999,361.99999999,361.98213407,361.98213407,361.96426815,361.96426814,361.99999998,361.96426816,361.98213407,361.96426816,361.98213408,361.98213408,361.98213408,361.96426815,361.96426815,361.96426814,361.96426814,361.96426815,361.96426815,361.96426816,361.96426816,361.94640223,361.94640224,361.96426814,361.98213407,361.96426815,361.96426815,361.96426814,361.96426814,361.98213407,361.98213407,361.98213406,361.98213406,361.98213408,362.00000001,362.00000001,361.98213407,361.98213407,361.98213407,362,362,362,362,362,361.98213408,361.98213408,361.98213408,361.98213408,361.98213408,361.96426813,361.98213406,361.98213406,361.96426814,361.98213406,361.98213406,361.96426814,361.94640223,361.94640223,361.94640223,361.96426814,361.94640222,361.94640222,361.96426814,361.96426814,361.98213406,361.98213406,361.98213407,361.98213407,361.96426814,361.98213406,361.98213406,361.98213406,361.96426814,361.96426814,361.96426815,361.96426815,361.96426815,361.96426814,361.96426814,361.96426815,361.94640223,361.94640223,361.96426814,361.96426814,361.96426814,361.96426814,361.98213406,361.98213406,361.98213407,361.98213407,361.98213407,361.98213408,361.98213408,361.98213406,361.96426815,361.98213408,361.96426815,361.96426815,361.96426815,361.96426815,361.96426815,361.96426815,361.96426815,361.94640223,361.94640223,362,362,362,362.00000001,362.00000001,362,362,362,361.99999999,362,362,361.99999999,388,388,388,387.99999999,388.00000001,388,387.999999979,387.999999979,387.999999982,387.999999984,387.999999983,387.999999984,387.999999985,387.999999985,387.99999998,388,387.99999998,387.99999998,428,428,428
235.99708806,235.99708806,235.99708806,80.56326553,80.56326553,0,91.85789585,91.85789584,102.51158613,102.51158613,104.34922623,104.34922624,104.34922623,104.34922624,115.8922107,118.84,118.84,325.99979401,325.999897,325.99989701,325.99979403,325.99979403,325.99969098,325.99979399,325.99979401,325.99979403,325.99979402,325.99979402,325.99989698,325.99979402,325.99979402,325.99989701,325.99989701,325.99979402,325.99989698,325.99979398,325.99989701,325.99989702,325.99989707,325.99979401,325.99979401,325.99979405,325.99989702,325.99989707,325.99989701,325.99989704,325.99989703,325.99989703,325.99989703,325.99979402,361.98213408,361.9821341,361.98213409,361.96426816,361.98213408,361.96426815,361.96426816,361.96426816,361.98213408,362,362,361.98213408,361.98213408,361.96426816,361.96426815,361.99999999,361.96426817,361.98213408,361.96426817,361.98213409,361.98213409,361.98213409,361.96426816,361.96426816,361.96426815,361.96426815,361.96426816,361.96426816,361.96426817,361.96426817,361.94640224,361.94640225,361.96426815,361.98213408,361.96426816,361.96426816,361.96426815,361.96426815,361.98213408,361.98213408,361.98213407,361.98213407,361.98213409,362.00000002,362.00000002,361.98213408,361.98213408,361.98213408,362.00000001,362.00000001,362.00000001,362.00000001,362.00000001,361.98213409,361.98213409,361.98213409,361.98213409,361.98213409,361.96426814,361.98213407,361.98213407,361.96426815,361.98213407,361.98213407,361.96426815,361.94640224,361.94640224,361.94640224,361.96426815,361.94640223,361.94640223,361.96426815,361.96426815,361.98213407,361.98213407,361.98213408,361.98213408,361.96426815,361.98213407,361.98213407,361.98213407,361.96426815,361.96426815,361.96426816,361.96426816,361.96426816,361.96426815,361.96426815,361.96426816,361.94640224,361.94640224,361.96426815,361.96426815,361.96426815,361.96426815,361.98213407,361.98213407,361.98213408,361.98213408,361.98213408,361.98213409,361.98213409,361.98213407,361.96426816,361.98213409,361.96426816,361.96426816,361.96426816,361.96426816,361.96426816,361.96426816,361.96426816,361.94640224,361.94640224,362.00000001,362.00000001,362.00000001,362.00000002,362.00000002,362.00000001,362.00000001,362.00000001,362,362.00000001,362.00000001,362,388.00000001,388.00000001,388.00000001,388,388.00000002,388.00000001,387.999999989,387.999999989,387.999999992,387.999999994,387.999999993,387.999999994,387.999999995,387.999999995,387.99999999,388.00000001,387.99999999,387.99999999,428.00000001,428.00000001,428.00000001
235.99708807,235.99708807,235.99708807,91.85789584,91.85789584,91.85789585,0,85.80757595,102.51158614,102.51158614,104.34922624,104.34922625,104.34922624,104.34922625,115.89221071,118.84000001,118.84000001,325.99979402,325.99989701,325.99989702,325.99979404,325.99979404,325.99969099,325.999794,325.99979402,325.99979404,325.99979403,325.99979403,325.99989699,325.99979403,325.99979403,325.99989702,325.99989702,325.99979403,325.99989699,325.99979399,325.99989702,325.99989703,325.99989708,325.99979402,325.99979402,325.99979406,325.99989703,325.99989708,325.99989702,325.99989705,325.99989704,325.99989704,325.99989704,325.99979403,361.98213409,361.98213411,361.9821341,361.96426817,361.98213409,361.96426816,361.96426817,361.96426817,361.98213409,362.00000001,362.00000001,361.98213409,361.98213409,361.96426817,361.96426816,362,361.96426818,361.98213409,361.96426818,361.9821341,361.9821341,361.9821341,361.96426817,361.96426817,361.96426816,361.96426816,361.96426817,361.96426817,361.96426818,361.96426818,361.94640225,361.94640226,361.96426816,361.98213409,361.96426817,361.96426817,361.96426816,361.96426816,361.98213409,361.98213409,361.98213408,361.98213408,361.9821341,362.00000003,362.00000003,361.98213409,361.98213409,361.98213409,362.00000002,362.00000002,362.00000002,362.00000002,362.00000002,361.9821341,361.9821341,361.9821341,361.9821341,361.9821341,361.96426815,361.98213408,361.98213408,361.96426816,361.98213408,361.98213408,361.96426816,361.94640225,361.94640225,361.94640225,361.96426816,361.94640224,361.94640224,361.96426816,361.96426816,361.98213408,361.98213408,361.98213409,361.98213409,361.96426816,361.98213408,361.98213408,361.98213408,361.96426816,361.96426816,361.96426817,361.96426817,361.96426817,361.96426816,361.96426816,361.96426817,361.94640225,361.94640225,361.96426816,361.96426816,361.96426816,361.96426816,361.98213408,361.98213408,361.98213409,361.98213409,361.98213409,361.9821341,361.9821341,361.98213408,361.96426817,361.9821341,361.96426817,361.96426817,361.96426817,361.96426817,361.96426817,361.96426817,361.96426817,361.94640225,361.94640225,362.00000002,362.00000002,362.00000002,362.00000003,362.00000003,362.00000002,362.00000002,362.00000002,362.00000001,362.00000002,362.00000002,362.00000001,388.00000002,388.00000002,388.00000002,388.00000001,388.00000003,388.00000002,387.999999999,387.999999999,388.000000002,388.000000004,388.000000003,388.000000004,388.000000005,388.000000005,388,388.00000002,388,388,428.00000002,428.00000002,428.00000002
235.99708806,235.99708806,235.99708806,91.85789583,91.85789583,91.85789584,85.80757595,0,102.51158613,102.51158613,104.34922623,104.34922624,104.34922623,104.34922624,115.8922107,118.84,118.84,325.99979401,325.999897,325.99989701,325.99979403,325.99979403,325.99969098,325.99979399,325.99979401,325.99979403,325.99979402,325.99979402,325.99989698,325.99979402,325.99979402,325.99989701,325.99989701,325.99979402,325.99989698,325.99979398,325.99989701,325.99989702,325.99989707,325.99979401,325.99979401,325.99979405,325.99989702,325.99989707,325.99989701,325.99989704,325.99989703,325.99989703,325.99989703,325.99979402,361.98213408,361.9821341,361.98213409,361.96426816,361.98213408,361.96426815,361.96426816,361.96426816,361.98213408,362,362,361.98213408,361.98213408,361.96426816,361.96426815,361.99999999,361.96426817,361.98213408,361.96426817,361.98213409,361.98213409,361.98213409,361.96426816,361.96426816,361.96426815,361.96426815,361.96426816,361.96426816,361.96426817,361.96426817,361.94640224,361.94640225,361.96426815,361.98213408,361.96426816,361.96426816,361.96426815,361.96426815,361.98213408,361.98213408,361.98213407,361.98213407,361.98213409,362.00000002,362.00000002,361.98213408,361.98213408,361.98213408,362.00000001,362.00000001,362.00000001,362.00000001,362.00000001,361.98213409,361.98213409,361.98213409,361.98213409,361.98213409,361.96426814,361.98213407,361.98213407,361.96426815,361.98213407,361.98213407,361.96426815,361.94640224,361.94640224,361.94640224,361.96426815,361.94640223,361.94640223,361.96426815,361.96426815,361.98213407,361.98213407,361.98213408,361.98213408,361.96426815,361.98213407,361.98213407,361.98213407,361.96426815,361.96426815,361.96426816,361.96426816,361.96426816,361.96426815,361.96426815,361.96426816,361.94640224,361.94640224,361.96426815,361.96426815,361.96426815,361.96426815,361.98213407,361.98213407,361.98213408,361.98213408,361.98213408,361.98213409,361.98213409,361.98213407,361.96426816,361.98213409,361.96426816,361.96426816,361.96426816,361.96426816,361.96426816,361.96426816,361.96426816,361.94640224,361.94640224,362.00000001,362.00000001,362.00000001,362.00000002,362.00000002,362.00000001,362.00000001,362.00000001,362,362.00000001,362.00000001,362,388.00000001,388.00000001,388.00000001,388,388.00000002,388.00000001,387.999999989,387.999999989,387.999999992,387.999999994,387.999999993,387.999999994,387.999999995,387.999999995,387.99999999,388.00000001,387.99999999,387.99999999,428.00000001,428.00000001,428.00000001
235.99708805,235.99708805,235.99708805,102.51158612,102.51158612,102.51158613,102.51158614,102.51158613,0,72.31140646,104.34922622,104.34922623,104.34922622,104.34922623,115.89221069,118.83999999,118.83999999,325.999794,325.99989699,325.999897,325.99979402,325.99979402,325.99969097,325.99979398,325.999794,325.99979402,325.99979401,325.99979401,325.99989697,325.99979401,325.99979401,325.999897,325.999897,325.99979401,325.99989697,325.99979397,325.999897,325.99989701,325.99989706,325.999794,325.999794,325.99979404,325.99989701,325.99989706,325.999897,325.99989703,325.99989702,325.99989702,325.99989702,325.99979401,361.98213407,361.98213409,361.98213408,361.96426815,361.98213407,361.96426814,361.96426815,361.96426815,361.98213407,361.99999999,361.99999999,361.98213407,361.98213407,361.96426815,361.96426814,361.99999998,361.96426816,361.98213407,361.96426816,361.98213408,361.98213408,361.98213408,361.96426815,361.96426815,361.96426814,361.96426814,361.96426815,361.96426815,361.96426816,361.96426816,361.94640223,361.94640224,361.96426814,361.98213407,361.96426815,361.96426815,361.96426814,361.96426814,361.98213407,361.98213407,361.98213406,361.98213406,361.98213408,362.00000001,362.00000001,361.98213407,361.98213407,361.98213407,362,362,362,362,362,361.98213408,361.98213408,361.98213408,361.98213408,361.98213408,361.96426813,361.98213406,361.98213406,361.96426814,361.98213406,361.98213406,361.96426814,361.94640223,361.94640223,361.94640223,361.96426814,361.94640222,361.94640222,361.96426814,361.96426814,361.98213406,361.98213406,361.98213407,361.98213407,361.96426814,361.98213406,361.98213406,361.98213406,361.96426814,361.96426814,361.96426815,361.96426815,361.96426815,361.96426814,361.96426814,361.96426815,361.94640223,361.94640223,361.96426814,361.96426814,361.96426814,361.96426814,361.98213406,361.98213406,361.98213407,361.98213407,361.98213407,361.98213408,361.98213408,361.98213406,361.96426815,361.98213408,361.96426815,361.96426815,361.96426815,361.96426815,361.96426815,361.96426815,361.96426815,361.94640223,361.94640223,362,362,362,362.00000001,362.00000001,362,362,362,361.99999999,362,362,361.99999999,388,388,388,387.99999999,388.00000001,388,387.999999979,387.999999979,387.999999982,387.999999984,387.999999983,387.999999984,387.999999985,387.999999985,387.99999998,388,387.99999998,387.99999998,428,428,428
235.99708805,235.99708805,235.99708805,102.51158612,102.51158612,102.51158613,102.51158614,102.51158613,72.31140646,0,104.34922622,104.34922623,104.34922622,104.34922623,115.89221069,118.83999999,118.83999999,325.999794,325.99989699,325.999897,325.99979402,325.99979402,325.99969097,325.99979398,325.999794,325.99979402,325.99979401,325.99979401,325.99989697,325.99979401,325.99979401,325.999897,325.999897,325.99979401,325.99989697,325.99979397,325.999897,325.99989701,325.99989706,325.999794,325.999794,325.99979404,325.99989701,325.99989706,325.999897,325.99989703,325.99989702,325.99989702,325.99989702,325.99979401,361.98213407,361.98213409,361.98213408,361.96426815,361.98213407,361.96426814,361.96426815,361.96426815,361.98213407,361.99999999,361.99999999,361.98213407,361.98213407,361.96426815,361.96426814,361.99999998,361.96426816,361.98213407,361.96426816,361.98213408,361.98213408,361.98213408,361.96426815,361.96426815,361.96426814,361.96426814,361.96426815,361.96426815,361.96426816,361.96426816,361.94640223,361.94640224,361.96426814,361.98213407,361.96426815,361.96426815,361.96426814,361.96426814,361.98213407,361.98213407,361.98213406,361.98213406,361.98213408,362.00000001,362.00000001,361.98213407,361.98213407,361.98213407,362,362,362,362,362,361.98213408,361.98213408,361.98213408,361.98213408,361.98213408,361.96426813,361.98213406,361.98213406,361.96426814,361.98213406,361.98213406,361.96426814,361.94640223,361.94640223,361.94640223,361.96426814,361.94640222,361.94640222,361.96426814,361.96426814,361.98213406,361.98213406,361.98213407,361.98213407,361.96426814,361.98213406,361.98213406,361.98213406,361.96426814,361.96426814,361.96426815,361.96426815,361.96426815,361.96426814,361.96426814,361.96426815,361.94640223,361.94640223,361.96426814,361.96426814,361.96426814,361.96426814,361.98213406,361.98213406,361.98213407,361.98213407,361.98213407,361.98213408,361.98213408,361.98213406,361.96426815,361.98213408,361.96426815,361.96426815,361.96426815,361.96426815,361.96426815,361.96426815,361.96426815,361.94640223,361.94640223,362,362,362,362.00000001,362.00000001,362,362,362,361.99999999,362,362,361.99999999,388,388,388,387.99999999,388.00000001,388,387.999999979,387.999999979,387.999999982,387.999999984,387.999999983,387.999999984,387.999999985,387.999999985,387.99999998,388,387.99999998,387.99999998,428,428,428
