"tipNames","AVG_SVL","AVG_ltoe_IV","AVG_lfing_IV","region"
"ahli",4.039125443,2.553343811,1.943287666,0
"alayoni",3.815704818,1.875257738,1.40302856,0
"alfaroi",3.526654599,1.73254011,1.040276712,0
"aliniger",4.036556538,2.256541154,1.702199393,1
"allisoni",4.375390078,2.533696814,1.983412353,0
"allogus",4.040138442,2.494900405,1.919010215,0
"altitudinalis",3.842994419,1.786746927,1.349371007,0
"alumina",3.588940722,1.991390664,1.179972809,1
"alutaceus",3.554890814,1.86392508,1.133335725,0
"angusticeps",3.788595498,1.813660733,1.270161748,0
"argenteolus",3.971307363,2.365054167,1.763148935,0
"argillaceus",3.757868992,2.002830439,1.467413412,0
"armouri",4.121684075,2.580141069,1.938597764,1
"bahorucoensis",3.827445029,2.261033666,1.538800833,1
"baleatus",5.05305601,3.333632062,2.79766236,1
"baracoae",5.042779747,3.320276511,2.757792293,0
"barahonae",5.076957937,3.350305009,2.842248038,1
"barbatus",5.003946306,3.142282716,2.759798947,0
"barbouri",3.663931948,2.012084237,1.443252138,1
"bartschi",4.280547466,2.655735652,2.110103001,0
"bremeri",4.113370744,2.543110042,1.891981807,0
"breslini",4.051110808,2.478951453,1.851206928,1
"brevirostris",3.874154977,2.186725207,1.720979287,1
"caudalis",3.911742966,2.144761008,1.698547088,1
"centralis",3.697941213,1.878206962,1.330968178,0
"chamaeleonides",5.04234927,3.148167197,2.791778417,0
"chlorocyanus",4.275448057,2.538772612,1.976365995,1
"christophei",3.884651809,2.387057535,1.867065703,1
"clivicola",3.758726128,2.134905813,1.503521687,0
"coelestinus",4.297965447,2.563339671,1.956760165,1
"confusus",3.938442349,2.320144309,1.744717776,0
"cooki",4.091535064,2.436241478,1.856818688,3
"cristatellus",4.189820018,2.599384566,2.027071112,3
"cupeyalensis",3.462013706,1.65653352,0.956365781,0
"cuvieri",4.875011919,3.238062016,2.725422239,3
"cyanopleurus",3.630161001,2.019485099,1.299585969,0
"cybotes",4.210982161,2.650870397,2.035418406,1
"darlingtoni",4.302036009,2.427454075,1.925707442,1
"distichus",3.928795837,2.301298551,1.80194551,1
"dolichocephalus",3.908550316,2.267475916,1.494027061,1
"equestris",5.113993807,3.30953886,2.821031604,0
"etheridgei",3.657990601,2.278975227,1.552514765,1
"eugenegrahami",4.128504414,2.684781574,2.089391873,1
"evermanni",4.165605231,2.613373154,2.015569465,3
"fowleri",4.288779949,2.704544062,2.115652924,1
"garmani",4.769473237,3.107656912,2.525042695,2
"grahami",4.154274265,2.491787683,1.922578854,2
"guafe",3.87745744,2.230954818,1.658942107,0
"guamuhaya",5.036952602,3.238286218,2.841998174,0
"guazuma",3.76388385,1.59240478,1.094901709,0
"gundlachi",4.18810472,2.702255667,2.070372767,3
"haetianus",4.316542212,2.823972922,2.193784323,1
"hendersoni",3.859834574,2.264190705,1.508143194,1
"homolechis",4.032805981,2.443650533,1.881752508,0
"imias",4.099687407,2.489538762,1.926331986,0
"inexpectatus",3.537438641,1.812582817,1.031403539,0
"insolitus",3.80047052,1.856645152,1.337337516,1
"isolepis",3.657087744,1.598039867,1.148988496,0
"jubar",3.952604971,2.309477949,1.725738368,0
"krugi",3.886500048,2.332338051,1.627670681,3
"lineatopus",4.128611788,2.585505848,1.984901898,2
"longitibialis",4.242103429,2.617979604,2.0589837,1
"loysiana",3.701240244,1.894240844,1.418277407,0
"lucius",4.198914766,2.616957781,2.140066163,0
"luteogularis",5.101085197,3.346670796,2.832095072,0
"macilentus",3.715764783,1.909542505,1.252762968,0
"marcanoi",4.079484699,2.518985963,1.901062204,1
"marron",3.831810283,2.143120318,1.662409797,1
"mestrei",3.987147344,2.371347635,1.785527973,0
"monticola",3.770613039,2.325976046,1.642872689,1
"noblei",5.083472618,3.314549575,2.832428723,0
"occultus",3.663048694,1.457451555,0.972671065,3
"olssoni",3.79389884,2.275140483,1.406096988,1
"opalinus",3.838376465,2.25800605,1.673726402,2
"ophiolepis",3.637962029,1.986895396,1.279345283,0
"oporinus",3.845669505,1.74745921,1.366091654,0
"paternus",3.802961204,1.957979873,1.398716881,0
"placidus",3.773967107,1.549687908,1.129787906,1
"poncensis",3.820377531,2.183640669,1.468532459,3
"porcatus",4.258990989,2.429091871,1.860974538,0
"porcus",5.038034268,3.117876157,2.729594231,0
"pulchellus",3.799022266,2.187454786,1.522244701,3
"pumilis",3.46686027,1.588009965,1.088561953,0
"quadriocellifer",3.901619072,2.25627934,1.690326416,0
"reconditus",4.482606994,3.087171334,2.498768463,2
"ricordii",5.013963084,3.359101428,2.839760492,1
"rubribarbus",4.078469213,2.504055469,1.916628451,0
"sagrei",4.067161768,2.476118144,1.836892159,0
"semilineatus",3.696630586,2.201935685,1.323753843,1
"sheplani",3.682924257,1.239822457,0.884800065,1
"shrevei",3.983003234,2.422410486,1.776984184,1
"singularis",4.057997494,2.332143895,1.755556421,1
"smallwoodi",5.035095592,3.302691625,2.741300747,0
"strahmi",4.274271278,2.654571284,2.074289403,1
"stratulus",3.869880695,2.185301932,1.677096561,3
"valencienni",4.321524401,2.378465303,1.869234781,2
"vanidicus",3.62620586,1.77579945,1.067293605,0
"vermiculatus",4.802849398,3.229900543,2.606386547,0
"websteri",3.916546094,2.204604685,1.7275172,1
"whitemani",4.097478535,2.51244075,1.881752508,1
