t1;t2;t3;t4;CF12_34;CF13_24;CF14_23;CF1234lo;CF1234hi;CF1324lo;CF1324hi;CF1423lo;CF1423hi
6;1;5;4;0.4;0.6;0;0.395;0.405;0.595;0.605;0;0.005
6;1;5;2;0.2;0.8;0;0.195;0.205;0.795;0.805;0;0.005
6;1;5;3;0.5;0.5;0;0.495;0.505;0.495;0.505;0;0.005
6;1;4;2;0.4;0.6;0;0.395;0.405;0.595;0.605;0;0.005
6;1;4;3;0.4;0.2;0.4;0.395;0.405;0.195;0.205;0.395;0.405
6;1;2;3;0.2;0.1;0.7;0.195;0.205;0.095;0.105;0.695;0.705
6;5;4;2;0.8;0;0.2;0.795;0.805;0;0.005;0.195;0.205
6;5;4;3;0.4;0.4;0.2;0.395;0.405;0.395;0.405;0.195;0.205
6;5;2;3;0.6;0.4;0;0.595;0.605;0.395;0.405;0;0.005
6;4;2;3;0.3;0.2;0.5;0.295;0.305;0.195;0.205;0.495;0.505
1;5;4;2;0.4;0;0.6;0.395;0.405;0;0.005;0.595;0.605
1;5;4;3;0.3;0.5;0.2;0.295;0.305;0.495;0.505;0.195;0.205
1;5;2;3;0.1;0.8;0.1;0.095;0.105;0.795;0.805;0.095;0.105
1;4;2;3;0.1;0.5;0.4;0.095;0.105;0.495;0.505;0.395;0.405
5;4;2;3;0.3;0.2;0.5;0.295;0.305;0.195;0.205;0.495;0.505
