t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
A,B,C,D,1,0,0,30
A,B,C,E,0.8333333333333334,0.03333333333333333,0.13333333333333333,30
A,B,C,O,0.8666666666666667,0,0.13333333333333333,30
A,B,D,E,0.8333333333333334,0.03333333333333333,0.13333333333333333,30
A,B,D,O,0.8666666666666667,0,0.13333333333333333,30
A,B,E,O,0.8333333333333334,0.06666666666666667,0.1,30
A,C,D,E,0,0,1,30
A,C,D,O,0,0,1,30
A,C,E,O,0.5333333333333333,0.3333333333333333,0.13333333333333333,30
A,D,E,O,0.5333333333333333,0.3333333333333333,0.13333333333333333,30
B,C,D,E,0,0,1,30
B,C,D,O,0,0,1,30
B,C,E,O,0.6666666666666666,0.26666666666666666,0.06666666666666667,30
B,D,E,O,0.6666666666666666,0.26666666666666666,0.06666666666666667,30
C,D,E,O,1,0,0,30
