t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
S1A,S1B,S1C,S2,0.375,0.25,0.375,16.0
S1A,S1B,S1C,S3,0.375,0.25,0.375,16.0
S1A,S1B,S2,S3,0.8125,0.0625,0.125,16.0
S1A,S1C,S2,S3,0.75,0.125,0.125,16.0
S1B,S1C,S2,S3,0.8125,0.125,0.0625,16.0
S1A,S1B,S1C,S4,0.375,0.25,0.375,16.0
S1A,S1B,S2,S4,0.875,0.125,0.0,16.0
S1A,S1C,S2,S4,0.875,0.0625,0.0625,16.0
S1B,S1C,S2,S4,0.875,0.0,0.125,16.0
S1A,S1B,S3,S4,0.8125,0.125,0.0625,16.0
S1A,S1C,S3,S4,0.75,0.125,0.125,16.0
S1B,S1C,S3,S4,0.8125,0.0625,0.125,16.0
S1A,S2,S3,S4,0.125,0.8125,0.0625,16.0
S1B,S2,S3,S4,0.0625,0.8125,0.125,16.0
S1C,S2,S3,S4,0.0625,0.9375,0.0,16.0
S1A,S1B,S1C,S5,0.375,0.25,0.375,16.0
S1A,S1B,S2,S5,0.875,0.125,0.0,16.0
S1A,S1C,S2,S5,0.875,0.0625,0.0625,16.0
S1B,S1C,S2,S5,0.875,0.0,0.125,16.0
S1A,S1B,S3,S5,0.8125,0.125,0.0625,16.0
S1A,S1C,S3,S5,0.75,0.125,0.125,16.0
S1B,S1C,S3,S5,0.8125,0.0625,0.125,16.0
S1A,S2,S3,S5,0.125,0.8125,0.0625,16.0
S1B,S2,S3,S5,0.0625,0.8125,0.125,16.0
S1C,S2,S3,S5,0.0625,0.9375,0.0,16.0
S1A,S1B,S4,S5,1.0,0.0,0.0,16.0
S1A,S1C,S4,S5,1.0,0.0,0.0,16.0
S1B,S1C,S4,S5,1.0,0.0,0.0,16.0
S1A,S2,S4,S5,0.875,0.0625,0.0625,16.0
S1B,S2,S4,S5,0.875,0.0625,0.0625,16.0
S1C,S2,S4,S5,0.875,0.0625,0.0625,16.0
S1A,S3,S4,S5,1.0,0.0,0.0,16.0
S1B,S3,S4,S5,1.0,0.0,0.0,16.0
S1C,S3,S4,S5,1.0,0.0,0.0,16.0
S2,S3,S4,S5,0.875,0.0625,0.0625,16.0
