qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,S1A,S1B,S1C,S2,0.375,0.25,0.375,16.0
2,S1A,S1B,S1C,S3,0.375,0.25,0.375,16.0
3,S1A,S1B,S2,S3,0.8125,0.0625,0.125,16.0
4,S1A,S1C,S2,S3,0.75,0.125,0.125,16.0
5,S1B,S1C,S2,S3,0.8125,0.125,0.0625,16.0
6,S1A,S1B,S1C,S4,0.375,0.25,0.375,16.0
7,S1A,S1B,S2,S4,0.875,0.125,0.0,16.0
8,S1A,S1C,S2,S4,0.875,0.0625,0.0625,16.0
9,S1B,S1C,S2,S4,0.875,0.0,0.125,16.0
10,S1A,S1B,S3,S4,0.8125,0.125,0.0625,16.0
11,S1A,S1C,S3,S4,0.75,0.125,0.125,16.0
12,S1B,S1C,S3,S4,0.8125,0.0625,0.125,16.0
13,S1A,S2,S3,S4,0.125,0.8125,0.0625,16.0
14,S1B,S2,S3,S4,0.0625,0.8125,0.125,16.0
15,S1C,S2,S3,S4,0.0625,0.9375,0.0,16.0
16,S1A,S1B,S1C,S5,0.375,0.25,0.375,16.0
17,S1A,S1B,S2,S5,0.875,0.125,0.0,16.0
18,S1A,S1C,S2,S5,0.875,0.0625,0.0625,16.0
19,S1B,S1C,S2,S5,0.875,0.0,0.125,16.0
20,S1A,S1B,S3,S5,0.8125,0.125,0.0625,16.0
21,S1A,S1C,S3,S5,0.75,0.125,0.125,16.0
22,S1B,S1C,S3,S5,0.8125,0.0625,0.125,16.0
23,S1A,S2,S3,S5,0.125,0.8125,0.0625,16.0
24,S1B,S2,S3,S5,0.0625,0.8125,0.125,16.0
25,S1C,S2,S3,S5,0.0625,0.9375,0.0,16.0
26,S1A,S1B,S4,S5,1.0,0.0,0.0,16.0
27,S1A,S1C,S4,S5,1.0,0.0,0.0,16.0
28,S1B,S1C,S4,S5,1.0,0.0,0.0,16.0
29,S1A,S2,S4,S5,0.875,0.0625,0.0625,16.0
30,S1B,S2,S4,S5,0.875,0.0625,0.0625,16.0
31,S1C,S2,S4,S5,0.875,0.0625,0.0625,16.0
32,S1A,S3,S4,S5,1.0,0.0,0.0,16.0
33,S1B,S3,S4,S5,1.0,0.0,0.0,16.0
34,S1C,S3,S4,S5,1.0,0.0,0.0,16.0
35,S2,S3,S4,S5,0.875,0.0625,0.0625,16.0
